Generación 100 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 101 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 102 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 103 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 104 : Individuo: k1: 0.5549596, k2: 3.3676718, k3: 0.5220138. Adecuación: 14.064328334761
Generación 105 : Individuo: k1: 0.5549596, k2: 3.3676718, k3: 0.5220138. Adecuación: 14.064328334761
Generación 106 : Individuo: k1: 0.5549596, k2: 3.3676718, k3: 0.5220138. Adecuación: 14.064328334761
Generación 107 : Individuo: k1: 0.5549596, k2: 3.3676718, k3: 0.5220138. Adecuación: 14.064328334761
Generación 108 : Individuo: k1: 0.5549596, k2: 3.3676718, k3: 0.5220138. Adecuación: 14.064328334761
Generación 109 : Individuo: k1: 0.5549596, k2: 3.3676718, k3: 0.5220138. Adecuación: 14.064328334761
Generación 110 : Individuo: k1: 0.5549596, k2: 3.3676718, k3: 0.5220138. Adecuación: 14.064328334761
Generación 111 : Individuo: k1: 0.5508636, k2: 2.3678752, k3: 0.5238604. Adecuación: 11.2733866232983
Generación 112 : Individuo: k1: 0.5508636, k2: 2.3678752, k3: 0.5238604. Adecuación: 11.2733866232983
Generación 113 : Individuo: k1: 0.5508636, k2: 2.3678752, k3: 0.5238604. Adecuación: 11.2733866232983
Generación 114 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 115 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 116 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 117 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 118 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 119 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 120 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 121 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 122 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 123 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 124 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 125 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 126 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 127 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 128 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 129 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 130 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 131 : Individuo: k1: 0.5508696, k2: 2.3678758, k3: 0.5238637. Adecuación: 11.2632000236723
Generación 132 : Individuo: k1: 0.5508807, k2: 2.3679163, k3: 0.5238751. Adecuación: 11.2448843034465
Generación 133 : Individuo: k1: 0.5508807, k2: 2.3679163, k3: 0.5238751. Adecuación: 11.2448843034465
Generación 134 : Individuo: k1: 0.5508807, k2: 2.3679163, k3: 0.5238751. Adecuación: 11.2448843034465
Generación 135 : Individuo: k1: 0.5508807, k2: 2.3679163, k3: 0.5238751. Adecuación: 11.2448843034465
Generación 136 : Individuo: k1: 0.5508807, k2: 2.3679163, k3: 0.5238751. Adecuación: 11.2448843034465
Generación 137 : Individuo: k1: 0.5508807, k2: 2.3679163, k3: 0.5238751. Adecuación: 11.2448843034465
Generación 138 : Individuo: k1: 0.5508184, k2: 2.6824486, k3: 0.5238381. Adecuación: 4.15842361226686
Generación 139 : Individuo: k1: 0.5508184, k2: 2.6824486, k3: 0.5238381. Adecuación: 4.15842361226686
Generación 140 : Individuo: k1: 0.5508184, k2: 2.6824486, k3: 0.5238381. Adecuación: 4.15842361226686
Generación 141 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 142 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 143 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 144 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 145 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 146 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 147 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 148 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 149 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 150 : Individuo: k1: 0.5508324, k2: 2.6824864, k3: 0.5238319. Adecuación: 4.12591951662938
Generación 151 : Individuo: k1: 0.5508807, k2: 2.7873467, k3: 0.5238751. Adecuación: 2.78135258339475
Generación 152 : Individuo: k1: 0.5508807, k2: 2.7873467, k3: 0.5238751. Adecuación: 2.78135258339475
Generación 153 : Individuo: k1: 0.5508807, k2: 2.7873467, k3: 0.5238751. Adecuación: 2.78135258339475
Generación 154 : Individuo: k1: 0.5508807, k2: 2.7873467, k3: 0.5238743. Adecuación: 2.78072725828742
Generación 155 : Individuo: k1: 0.5508807, k2: 2.7873467, k3: 0.5238743. Adecuación: 2.78072725828742
Generación 156 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 157 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 158 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 159 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 160 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 161 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 162 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 163 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 164 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 165 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 166 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 167 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 168 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 169 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 170 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 171 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 172 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 173 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 174 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 175 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 176 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 177 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 178 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 179 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 180 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 181 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 182 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 183 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 184 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 185 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 186 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 187 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 188 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
Generación 189 : Individuo: k1: 0.5509063, k2: 2.7869228, k3: 0.5236696. Adecuación: 2.69505833420084
